"id","name","type_2","reg_year","is_current","president","has_president","primary_mc_contact","has_mc_contact","primary_fac_contact","has_fac_contact"
65,Wapicada Golf Club,0,"2,017",0,,0,,0,Jason Rieder,1
66,Wild Marsh Golf Club,0,"2,017",0,Eric Kolkind,1,Eric Kolkind,1,Jerry Kroc,1
67,StoneRidge Golf Course,0,"2,017",0,,0,,0,,0
68,Minnewaska Golf Club,0,"2,017",0,,0,,0,Scott McDonald,1
69,Little Crow Golf Club,0,,0,,0,,0,Sam Drodofsky,1
70,Albion Ridges,0,,0,Tom Wagner,1,Don Ouellette,1,Dennis Olson,1
71,Perham Lakeside Golf Club,0,"2,017",0,Kunza Mike,1,,0,Jeff Olson,1
72,Bent Irons Golf Club,1,"2,017",0,Jim Overocker,1,Dan Watts,1,,0
73,Hollydale Golf Course,0,"2,017",0,Greg Cook,1,Mark Andryski,1,Rich Diezel,1
74,Stonebrooke Golf Club,0,,0,,0,,0,Einar Odland,1
75,Eagle Ridge Golf Course,0,,0,,0,Gary Gustafson,1,Gordy Skaar,1
76,Dahlgreen Golf Course,0,"2,017",0,Greg Gestach,1,,0,Dave Tessman,1
77,Blackberry Ridge Golf Course,0,"2,017",0,Matt Harpert,1,Matt Harpert,1,Brock Swanson,1
78,Boulder Pointe Golf Course,0,,0,Rick Sandretto,1,Rick Sandretto,1,John Elasky,1
79,Daytona Golf Club,0,,0,,0,Steve Guckeen,1,Bruce McCann,1
80,Geneva Golf Club,0,,0,,0,,0,,0
81,Ridgewood Golf Course & Country Club,0,,0,Wayne Seiffert,1,Wayne Seiffert,1,Jack Tabaka,1
82,Pebble Lake Golf Club,0,"2,017",0,Matt McGovern,1,Matt McGovern,1,Kevin Swenson,1
83,Bulrush Golf Club,0,"2,017",0,,0,,0,Chad Fuchs,1
84,The Bluffs at Coffee Mill,0,,0,,0,,0,June Alper,1
85,New Prague Golf Club,0,"2,017",0,Doug Snyder,1,Pat Ollhoff,1,Kurt Ruehling,1
86,Legacy Golf Course,0,"2,017",0,,0,,0,Mark Fitzenberger,1
87,The Ponds Golf Course,0,"2,017",0,,0,Marc McMullen,1,,0
88,Inver Wood Golf Course,0,"2,017",0,,0,Leon Otness,1,Matt Moynihan,1
89,Red Wing Golf Club,0,,0,,0,,0,Lee Kinney,1
90,Ponds at Battle Creek,0,"2,017",0,,0,Mike Larson,1,Brad Behnke,1
91,Cedar River Golf Course,0,"2,017",0,Mike Schneider,1,Mike Schneider,1,Becky Miller,1
92,Oakcrest Golf Course,0,,0,,0,Mark Wilson,1,,0
93,Cuyuna Rolling Hills Golf,0,,0,,0,,0,Terry Thompson,1
94,Lakeview National Golf Course,0,,0,,0,,0,Kyle Ernst,1
95,Sundance Golf Course,0,"2,017",0,,0,,0,Dave Leyse,1
96,Dakota Pines Golf Club,0,"2,017",0,,0,,0,Barrett Boe,1
98,Mississippi Dunes Golf Links,0,,0,,0,,0,William Doebler,1
100,Mississippi National Golf Links,0,,0,,0,,0,Nathan Gale,1
101,Prestwick Golf Club,0,,0,,0,,0,Tom Wahl,1
102,Creeksbend Golf Course,0,"2,017",0,Mike Degroot,1,Mike Degroot,1,Bryan Connelly,1
103,The Territory Golf Course,0,"2,017",0,,0,,0,Chad Seim,1
104,Oak Marsh Golf Course,0,"2,017",0,,0,,0,Steve Whillock,1
105,Carl Spackler Golf Club,1,"2,017",0,Pete Hoover,1,Craig Urseth,1,,0
106,Redwood Falls Golf Club,0,"2,017",0,Jason Balko,1,,0,Ryan Fernelius,1
107,Waseca Lakeside Club,0,"2,017",0,,0,,0,Matt Hauge,1
108,The Refuge,0,"2,017",0,,0,,0,Josh Fischer,1
110,Greenhaven Golf Course,0,,0,,0,Steve Fellows,1,Larry Nordlund,1
111,American Family Golf Club,1,"2,017",0,Brad Hank,1,Brad Hank,1,,0
112,The Bridges Golf Course,0,"2,017",0,,0,,0,Blake Westerberg,1
113,Nice Shots Golf Club,1,"2,017",0,,0,Tom Rustad,1,,0
